workclass,race,sex,hours-per-week,native-country,label,age-range,educationDegree
State-gov,White,Male,21-40,NC-White,<=50K,30-45,Bach
Self-emp-not-inc,White,Male,0-20,NC-White,<=50K,45-60,Bach
Private,White,Male,21-40,NC-White,<=50K,30-45,HS-College
Private,Black,Male,21-40,NC-White,<=50K,45-60,MiddleSchool
Private,Black,Female,21-40,NC-Hispanic,<=50K,15-30,Bach
Private,White,Female,21-40,NC-White,<=50K,30-45,Mast
Private,Black,Female,0-20,NC-Hispanic,<=50K,45-60,MiddleSchool
Self-emp-not-inc,White,Male,41-60,NC-White,>50K,45-60,HS-College
Private,White,Female,41-60,NC-White,>50K,30-45,Mast
Private,White,Male,21-40,NC-White,>50K,30-45,Bach
Private,Black,Male,61-80,NC-White,>50K,30-45,Assoc
State-gov,Asian-Pac-Islander,Male,21-40,NC-Asian-Pacific,>50K,30-45,Bach
Private,White,Female,21-40,NC-White,<=50K,15-30,Bach
Private,Black,Male,41-60,NC-White,<=50K,30-45,Assoc
Private,Asian-Pac-Islander,Male,21-40,NC-Hispanic,>50K,30-45,Assoc
Private,Amer-Indian-Eskimo,Male,41-60,NC-Hispanic,<=50K,30-45,Elementary
Self-emp-not-inc,White,Male,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Male,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Male,41-60,NC-White,<=50K,30-45,MiddleSchool
Self-emp-not-inc,White,Female,41-60,NC-White,>50K,30-45,Mast
Private,White,Male,41-60,NC-White,>50K,30-45,PostMaster
Private,Black,Female,0-20,NC-White,<=50K,45-60,HS-College
Federal-gov,Black,Male,21-40,NC-White,<=50K,30-45,MiddleSchool
Private,White,Male,21-40,NC-White,<=50K,30-45,MiddleSchool
Private,White,Female,21-40,NC-White,<=50K,45-60,HS-College
Local-gov,White,Male,21-40,NC-White,>50K,45-60,Bach
Private,White,Male,21-40,NC-White,<=50K,15-30,HS-College
1,Asian-Pac-Islander,Male,41-60,NC-Hispanic,>50K,45-60,Assoc
Private,White,Male,61-80,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,<=50K,45-60,HS-College
Local-gov,White,Male,41-60,NC-White,<=50K,15-30,Assoc
Private,Black,Male,41-60,NC-White,<=50K,15-30,Assoc
Private,White,Male,21-40,NC-White,<=50K,45-60,Bach
Federal-gov,White,Male,21-40,NC-White,<=50K,30-45,Assoc
State-gov,Black,Male,0-20,NC-White,<=50K,15-30,Assoc
Private,White,Male,21-40,NC-Hispanic,<=50K,45-60,MiddleSchool
Private,White,Male,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Female,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Male,21-40,NC-Hispanic,>50K,30-45,Assoc
Self-emp-not-inc,White,Male,21-40,NC-White,<=50K,45-60,Assoc
Private,White,Male,41-60,NC-White,<=50K,30-45,MiddleSchool
Self-emp-not-inc,White,Male,21-40,NC-White,<=50K,45-60,Bach
Private,White,Male,41-60,NC-White,<=50K,15-30,Bach
Private,White,Female,21-40,NC-White,<=50K,45-60,HS-College
Private,White,Male,21-40,NC-White,<=50K,15-30,HS-College
Federal-gov,Black,Male,21-40,NC-White,>50K,45-60,Bach
Private,White,Male,21-40,NC-White,<=50K,45-60,HS-College
Private,White,Female,21-40,NC-White,<=50K,30-45,Mast
State-gov,White,Male,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Male,41-60,NC-White,<=50K,15-30,Assoc
Private,Other,Female,21-40,NC-White,<=50K,15-30,Assoc
