workclass,race,hours-per-week,native-country,label,age-range,educationDegree
Private,Black,21-40,Cuba,<=50K,15-30,Bach
Private,White,21-40,United-States,<=50K,30-45,Mast
Private,Black,0-20,Jamaica,<=50K,45-60,MiddleSchool
Private,White,41-60,United-States,>50K,30-45,Mast
Private,White,21-40,United-States,<=50K,15-30,Bach
Self-emp-not-inc,White,41-60,United-States,>50K,30-45,Mast
Private,Black,0-20,United-States,<=50K,45-60,HS-College
Private,White,21-40,United-States,<=50K,45-60,HS-College
Private,White,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,45-60,HS-College
Private,White,21-40,United-States,<=50K,30-45,Mast
Private,Other,21-40,United-States,<=50K,15-30,Assoc
Private,White,21-40,?,<=50K,15-30,HS-College
Private,White,41-60,Honduras,>50K,45-60,PostMaster
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,>50K,45-60,HS-College
Private,Black,21-40,United-States,<=50K,30-45,Bach
Private,White,21-40,United-States,<=50K,15-30,MiddleSchool
Private,White,21-40,United-States,<=50K,45-60,HS-College
Private,White,21-40,United-States,>50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,45-60,HS-College
Federal-gov,White,41-60,United-States,>50K,30-45,PostMaster
Private,White,21-40,United-States,<=50K,30-45,Assoc
Private,Black,21-40,United-States,<=50K,15-30,Assoc
Private,Asian-Pac-Islander,21-40,?,<=50K,30-45,HS-College
Private,White,21-40,England,<=50K,45-60,Assoc
Self-emp-not-inc,White,41-60,United-States,<=50K,45-60,Mast
Private,White,21-40,United-States,<=50K,15-30,Assoc
?,White,21-40,United-States,<=50K,15-30,MiddleSchool
Local-gov,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,>50K,45-60,Bach
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,41-60,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,15-30,HS-College
Private,Black,21-40,United-States,<=50K,45-60,Assoc
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,>50K,45-60,Assoc
Private,Black,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
?,White,21-40,United-States,<=50K,30-45,Assoc
Local-gov,White,21-40,Mexico,<=50K,45-60,Assoc
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,Asian-Pac-Islander,21-40,Philippines,<=50K,30-45,Bach
?,White,0-20,United-States,<=50K,60-75,Preschool
Private,White,21-40,United-States,<=50K,15-30,HS-College
Self-emp-inc,Asian-Pac-Islander,21-40,United-States,<=50K,30-45,Mast
Private,Asian-Pac-Islander,21-40,England,<=50K,15-30,HS-College
Private,White,21-40,Mexico,<=50K,30-45,Assoc
Local-gov,White,0-20,United-States,<=50K,60-75,Assoc
Private,White,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,30-45,Assoc
Self-emp-not-inc,White,21-40,United-States,<=50K,30-45,Bach
?,White,41-60,United-States,<=50K,45-60,Bach
Private,White,41-60,United-States,<=50K,30-45,Mast
Private,Black,21-40,United-States,<=50K,30-45,Assoc
Federal-gov,White,41-60,United-States,>50K,30-45,Mast
Private,White,21-40,United-States,<=50K,15-30,Mast
Local-gov,White,21-40,United-States,<=50K,30-45,Assoc
State-gov,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,15-30,MiddleSchool
Self-emp-inc,White,21-40,United-States,>50K,45-60,HS-College
Private,White,0-20,United-States,<=50K,15-30,MiddleSchool
Private,Amer-Indian-Eskimo,21-40,United-States,<=50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,45-60,Assoc
Local-gov,White,21-40,United-States,<=50K,45-60,Preschool
Private,White,21-40,United-States,<=50K,15-30,HS-College
?,Amer-Indian-Eskimo,0-20,United-States,<=50K,60-75,MiddleSchool
Private,White,0-20,Columbia,<=50K,75-100,Assoc
Private,White,21-40,United-States,<=50K,60-75,HS-College
Private,Black,21-40,United-States,<=50K,30-45,HS-College
Private,Other,21-40,United-States,<=50K,30-45,Assoc
State-gov,White,21-40,United-States,<=50K,30-45,Assoc
Self-emp-not-inc,White,0-20,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,>50K,30-45,PostMaster
Private,Black,21-40,United-States,<=50K,30-45,Bach
Local-gov,Black,21-40,United-States,<=50K,45-60,MiddleSchool
Private,White,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,41-60,United-States,<=50K,45-60,Assoc
Private,White,21-40,United-States,<=50K,30-45,Bach
Private,White,41-60,United-States,<=50K,30-45,Bach
Private,White,21-40,United-States,>50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,41-60,United-States,>50K,15-30,Assoc
Private,White,0-20,Germany,<=50K,15-30,Bach
Private,Black,41-60,United-States,<=50K,30-45,Assoc
Private,White,41-60,United-States,<=50K,60-75,Bach
Private,White,21-40,United-States,<=50K,15-30,Bach
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,Black,21-40,United-States,<=50K,15-30,Bach
Self-emp-inc,White,41-60,United-States,<=50K,30-45,Bach
?,Asian-Pac-Islander,21-40,?,<=50K,30-45,Mast
Private,Asian-Pac-Islander,21-40,United-States,<=50K,15-30,Assoc
Private,Asian-Pac-Islander,21-40,Laos,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,45-60,Assoc
?,Black,21-40,United-States,<=50K,15-30,Assoc
Self-emp-not-inc,Black,21-40,United-States,>50K,30-45,Bach
Private,White,21-40,Mexico,<=50K,15-30,Elementary
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,60-75,HS-College
Private,White,21-40,United-States,<=50K,15-30,MiddleSchool
?,Black,0-20,United-States,<=50K,15-30,Assoc
Private,White,41-60,United-States,>50K,30-45,Assoc
State-gov,Black,21-40,United-States,<=50K,15-30,Assoc
?,White,21-40,United-States,<=50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,30-45,MiddleSchool
Private,White,0-20,United-States,<=50K,15-30,Assoc
Private,White,41-60,United-States,>50K,45-60,Bach
Private,White,21-40,United-States,<=50K,30-45,HS-College
Federal-gov,White,0-20,United-States,<=50K,15-30,Assoc
Local-gov,White,0-20,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,41-60,United-States,<=50K,45-60,Elementary
Private,White,21-40,United-States,<=50K,45-60,Assoc
Local-gov,White,21-40,United-States,<=50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,15-30,HS-College
Private,White,0-20,United-States,>50K,30-45,Assoc
Private,White,0-20,United-States,<=50K,15-30,Assoc
Private,White,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,>50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,45-60,Assoc
?,White,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,15-30,Assoc
Private,White,61-80,United-States,<=50K,30-45,Assoc
?,White,21-40,United-States,>50K,15-30,Assoc
Local-gov,Black,21-40,United-States,<=50K,30-45,Assoc
Private,Black,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,30-45,Assoc
Private,White,0-20,United-States,<=50K,30-45,MiddleSchool
State-gov,White,21-40,United-States,<=50K,30-45,HS-College
State-gov,White,21-40,United-States,>50K,30-45,Bach
Private,White,21-40,United-States,<=50K,30-45,MiddleSchool
Self-emp-not-inc,White,21-40,United-States,<=50K,30-45,Bach
Private,White,21-40,United-States,>50K,30-45,Assoc
Local-gov,White,21-40,United-States,<=50K,30-45,Assoc
Local-gov,White,21-40,United-States,<=50K,30-45,Assoc
Private,White,21-40,United-States,<=50K,45-60,HS-College
Private,Black,21-40,United-States,<=50K,30-45,HS-College
?,White,0-20,United-States,<=50K,15-30,MiddleSchool
Private,Black,21-40,United-States,<=50K,15-30,HS-College
Self-emp-not-inc,White,21-40,United-States,>50K,30-45,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,0-20,United-States,<=50K,15-30,Bach
Private,White,41-60,United-States,<=50K,30-45,HS-College
Private,White,0-20,United-States,>50K,30-45,Bach
Private,White,21-40,United-States,<=50K,60-75,Assoc
Private,White,21-40,United-States,<=50K,45-60,Bach
Private,White,21-40,United-States,<=50K,15-30,HS-College
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,Black,0-20,United-States,<=50K,15-30,Assoc
Local-gov,White,21-40,United-States,<=50K,45-60,Bach
Private,White,21-40,United-States,<=50K,30-45,HS-College
Private,White,41-60,United-States,<=50K,30-45,Assoc
