workclass,race,sex,hours-per-week,native-country,label,age-range,educationDegree
Private,Black,Female,21-40,Cuba,<=50K,15-30,Bach
Private,Black,Female,0-20,Jamaica,<=50K,45-60,MiddleSchool
State-gov,Asian-Pac-Islander,Male,21-40,India,>50K,30-45,Bach
Private,Asian-Pac-Islander,Male,21-40,?,>50K,30-45,Assoc
Private,Amer-Indian-Eskimo,Male,41-60,Mexico,<=50K,30-45,Elementary
?,Asian-Pac-Islander,Male,41-60,South,>50K,45-60,Assoc
Private,White,Male,21-40,Puerto-Rico,<=50K,45-60,MiddleSchool
Private,White,Male,21-40,?,>50K,30-45,Assoc
Private,White,Female,21-40,?,<=50K,15-30,HS-College
Private,White,Female,41-60,Honduras,>50K,45-60,PostMaster
Private,White,Male,21-40,Mexico,<=50K,45-60,Elementary
Private,White,Male,21-40,Puerto-Rico,<=50K,30-45,Assoc
?,White,Male,21-40,?,<=50K,30-45,Elementary
Private,White,Male,21-40,Mexico,<=50K,15-30,HS-College
Private,White,Male,21-40,Cuba,<=50K,45-60,Bach
Private,Asian-Pac-Islander,Female,21-40,?,<=50K,30-45,HS-College
Private,White,Female,21-40,England,<=50K,45-60,Assoc
Self-emp-not-inc,White,Male,41-60,Canada,>50K,45-60,HS-College
Private,Black,Male,21-40,Germany,<=50K,30-45,Bach
Federal-gov,White,Male,21-40,Iran,>50K,30-45,Mast
Private,White,Male,21-40,Mexico,<=50K,15-30,Assoc
Local-gov,White,Female,21-40,Mexico,<=50K,45-60,Assoc
Private,Asian-Pac-Islander,Female,21-40,Philippines,<=50K,30-45,Bach
Private,Asian-Pac-Islander,Female,21-40,England,<=50K,15-30,HS-College
Private,White,Female,21-40,Mexico,<=50K,30-45,Assoc
Private,White,Male,21-40,Mexico,>50K,30-45,Elementary
Private,White,Male,21-40,Mexico,<=50K,15-30,Elementary
?,White,Male,21-40,Italy,<=50K,15-30,HS-College
Private,White,Male,41-60,Poland,<=50K,30-45,Bach
Private,White,Female,0-20,Columbia,<=50K,75-100,Assoc
Private,White,Male,41-60,Iran,>50K,30-45,Bach
Private,White,Male,21-40,?,<=50K,45-60,HS-College
Private,White,Male,21-40,?,<=50K,45-60,HS-College
Self-emp-not-inc,Asian-Pac-Islander,Male,21-40,Cambodia,>50K,30-45,HS-College
Self-emp-inc,Asian-Pac-Islander,Male,61-80,Thailand,>50K,30-45,Assoc
?,White,Male,21-40,Canada,<=50K,15-30,Assoc
Private,White,Female,0-20,Germany,<=50K,15-30,Bach
Private,White,Male,21-40,Ecuador,<=50K,45-60,Elementary
?,Asian-Pac-Islander,Female,21-40,?,<=50K,30-45,Mast
Private,Asian-Pac-Islander,Female,21-40,Laos,<=50K,15-30,Assoc
Private,Asian-Pac-Islander,Male,21-40,Taiwan,>50K,30-45,Mast
Private,White,Female,21-40,Mexico,<=50K,15-30,Elementary
Private,White,Male,41-60,Mexico,<=50K,15-30,Elementary
Private,Black,Male,21-40,Haiti,<=50K,15-30,HS-College
Private,White,Male,21-40,Iran,<=50K,45-60,Assoc
Self-emp-not-inc,White,Male,21-40,Portugal,<=50K,15-30,MiddleSchool
State-gov,White,Male,41-60,?,>50K,30-45,Bach
Private,Other,Male,21-40,Puerto-Rico,<=50K,15-30,Elementary
Private,White,Male,21-40,Mexico,<=50K,45-60,Preschool
Private,White,Male,61-80,Dominican-Republic,<=50K,15-30,HS-College
Private,Asian-Pac-Islander,Male,21-40,Philippines,<=50K,15-30,Assoc
