workclass,race,sex,hours-per-week,native-country,label,age-range,educationDegree
Private,Black,Male,21-40,United-States,<=50K,45-60,MiddleSchool
Private,Black,Female,21-40,Cuba,<=50K,15-30,Bach
Private,Black,Female,0-20,Jamaica,<=50K,45-60,MiddleSchool
Private,Black,Male,61-80,United-States,>50K,30-45,Assoc
State-gov,Asian-Pac-Islander,Male,21-40,India,>50K,30-45,Bach
Private,Black,Male,41-60,United-States,<=50K,30-45,Assoc
Private,Asian-Pac-Islander,Male,21-40,?,>50K,30-45,Assoc
Private,Amer-Indian-Eskimo,Male,41-60,Mexico,<=50K,30-45,Elementary
Private,Black,Female,0-20,United-States,<=50K,45-60,HS-College
Federal-gov,Black,Male,21-40,United-States,<=50K,30-45,MiddleSchool
?,Asian-Pac-Islander,Male,41-60,South,>50K,45-60,Assoc
Private,Black,Male,41-60,United-States,<=50K,15-30,Assoc
State-gov,Black,Male,0-20,United-States,<=50K,15-30,Assoc
Federal-gov,Black,Male,21-40,United-States,>50K,45-60,Bach
Private,Other,Female,21-40,United-States,<=50K,15-30,Assoc
Private,Black,Female,21-40,United-States,<=50K,30-45,Bach
Private,Black,Female,21-40,United-States,<=50K,15-30,Assoc
Private,Asian-Pac-Islander,Female,21-40,?,<=50K,30-45,HS-College
Federal-gov,Black,Male,21-40,United-States,<=50K,30-45,HS-College
Local-gov,Black,Male,21-40,United-States,>50K,45-60,Assoc
Private,Black,Male,21-40,Germany,<=50K,30-45,Bach
Private,Black,Male,21-40,United-States,<=50K,15-30,Assoc
Private,Black,Female,21-40,United-States,<=50K,45-60,Assoc
Private,Asian-Pac-Islander,Male,21-40,United-States,>50K,45-60,Assoc
Private,Black,Female,21-40,United-States,<=50K,30-45,HS-College
Private,Asian-Pac-Islander,Female,21-40,Philippines,<=50K,30-45,Bach
Self-emp-not-inc,Black,Male,0-20,United-States,<=50K,60-75,Assoc
Private,Black,Male,41-60,United-States,<=50K,30-45,Bach
Self-emp-inc,Asian-Pac-Islander,Female,21-40,United-States,<=50K,30-45,Mast
Private,Asian-Pac-Islander,Female,21-40,England,<=50K,15-30,HS-College
Private,Black,Male,21-40,United-States,<=50K,15-30,HS-College
Private,Black,Male,21-40,United-States,<=50K,30-45,HS-College
Local-gov,Black,Male,21-40,United-States,>50K,30-45,Assoc
Private,Black,Male,41-60,United-States,<=50K,30-45,Assoc
Private,Black,Male,21-40,United-States,<=50K,30-45,HS-College
Private,Black,Female,21-40,United-States,<=50K,30-45,Assoc
Local-gov,Black,Male,21-40,United-States,<=50K,30-45,Bach
Private,Black,Male,21-40,United-States,>50K,30-45,Bach
Local-gov,Black,Male,21-40,United-States,<=50K,30-45,HS-College
Private,Amer-Indian-Eskimo,Female,21-40,United-States,<=50K,30-45,Assoc
Private,Asian-Pac-Islander,Male,21-40,United-States,<=50K,60-75,HS-College
Private,Black,Male,41-60,United-States,>50K,30-45,Bach
Private,Black,Male,21-40,United-States,<=50K,75-100,HS-College
Private,Black,Male,0-20,United-States,<=50K,45-60,HS-College
?,Amer-Indian-Eskimo,Female,0-20,United-States,<=50K,60-75,MiddleSchool
Private,Black,Male,21-40,United-States,<=50K,30-45,MiddleSchool
Private,Black,Female,21-40,United-States,<=50K,30-45,HS-College
Private,Other,Female,21-40,United-States,<=50K,30-45,Assoc
Private,Black,Female,21-40,United-States,<=50K,30-45,Bach
Local-gov,Black,Female,21-40,United-States,<=50K,45-60,MiddleSchool
Self-emp-not-inc,Asian-Pac-Islander,Male,21-40,Cambodia,>50K,30-45,HS-College
Self-emp-inc,Asian-Pac-Islander,Male,61-80,Thailand,>50K,30-45,Assoc
Private,Black,Male,21-40,United-States,<=50K,30-45,HS-College
Private,Black,Female,41-60,United-States,<=50K,30-45,Assoc
Private,Black,Female,21-40,United-States,<=50K,15-30,Bach
?,Asian-Pac-Islander,Female,21-40,?,<=50K,30-45,Mast
Private,Asian-Pac-Islander,Female,21-40,United-States,<=50K,15-30,Assoc
Private,Asian-Pac-Islander,Female,21-40,Laos,<=50K,15-30,Assoc
Private,Asian-Pac-Islander,Male,21-40,Taiwan,>50K,30-45,Mast
?,Black,Female,21-40,United-States,<=50K,15-30,Assoc
Self-emp-not-inc,Black,Female,21-40,United-States,>50K,30-45,Bach
?,Black,Female,0-20,United-States,<=50K,15-30,Assoc
Private,Black,Male,41-60,United-States,<=50K,30-45,Assoc
Private,Black,Male,21-40,Haiti,<=50K,15-30,HS-College
Private,Black,Male,21-40,United-States,<=50K,45-60,HS-College
State-gov,Black,Female,21-40,United-States,<=50K,15-30,Assoc
Private,Other,Male,21-40,United-States,<=50K,60-75,MiddleSchool
Private,Black,Male,21-40,United-States,<=50K,45-60,HS-College
Private,Black,Male,21-40,United-States,<=50K,30-45,HS-College
Private,Other,Male,21-40,Puerto-Rico,<=50K,15-30,Elementary
Local-gov,Black,Female,21-40,United-States,<=50K,30-45,Assoc
Private,Black,Female,21-40,United-States,<=50K,15-30,HS-College
Local-gov,Black,Male,21-40,United-States,<=50K,30-45,MiddleSchool
Private,Asian-Pac-Islander,Male,21-40,Philippines,<=50K,15-30,Assoc
Local-gov,Black,Male,41-60,United-States,<=50K,30-45,HS-College
Private,Black,Female,21-40,United-States,<=50K,30-45,HS-College
Private,Amer-Indian-Eskimo,Male,21-40,United-States,<=50K,45-60,HS-College
Private,Black,Female,21-40,United-States,<=50K,15-30,HS-College
Private,Black,Male,21-40,?,>50K,30-45,Assoc
Private,Asian-Pac-Islander,Male,21-40,United-States,>50K,30-45,Assoc
Private,Black,Male,41-60,United-States,<=50K,30-45,Assoc
Local-gov,Black,Male,21-40,United-States,<=50K,45-60,HS-College
?,Black,Male,21-40,United-States,<=50K,45-60,MiddleSchool
Private,Black,Female,0-20,United-States,<=50K,15-30,Assoc
Private,Black,Male,21-40,United-States,<=50K,15-30,Bach
Local-gov,Black,Female,21-40,United-States,<=50K,45-60,HS-College
?,Black,Female,21-40,United-States,<=50K,45-60,Elementary
Private,Amer-Indian-Eskimo,Female,0-20,United-States,<=50K,15-30,Assoc
Local-gov,Black,Male,41-60,United-States,<=50K,15-30,Assoc
Private,Other,Female,41-60,Puerto-Rico,<=50K,30-45,MiddleSchool
Private,Black,Male,21-40,United-States,<=50K,30-45,HS-College
Private,Black,Female,21-40,United-States,<=50K,45-60,Preschool
?,Black,Female,21-40,United-States,<=50K,30-45,HS-College
Private,Black,Female,21-40,United-States,<=50K,30-45,HS-College
Federal-gov,Black,Female,21-40,United-States,>50K,30-45,Assoc
Private,Black,Female,21-40,United-States,<=50K,15-30,HS-College
Private,Amer-Indian-Eskimo,Male,41-60,United-States,<=50K,15-30,HS-College
?,Asian-Pac-Islander,Female,21-40,United-States,<=50K,45-60,HS-College
?,Amer-Indian-Eskimo,Female,21-40,United-States,<=50K,15-30,Assoc
