workclass,race,hours-per-week,native-country,label,educationDegree
Private,Black,21-40,Cuba,<=50K,Bach
Private,Black,0-20,Jamaica,<=50K,MiddleSchool
Private,Black,0-20,United-States,<=50K,HS-College
Private,Other,21-40,United-States,<=50K,Assoc
Private,Black,21-40,United-States,<=50K,Bach
Private,Black,21-40,United-States,<=50K,Assoc
Private,Asian-Pac-Islander,21-40,?,<=50K,HS-College
Private,Black,21-40,United-States,<=50K,Assoc
Private,Black,21-40,United-States,<=50K,HS-College
Private,Asian-Pac-Islander,21-40,Philippines,<=50K,Bach
Self-emp-inc,Asian-Pac-Islander,21-40,United-States,<=50K,Mast
Private,Asian-Pac-Islander,21-40,England,<=50K,HS-College
Private,Black,21-40,United-States,<=50K,Assoc
Private,Amer-Indian-Eskimo,21-40,United-States,<=50K,Assoc
?,Amer-Indian-Eskimo,0-20,United-States,<=50K,MiddleSchool
Private,Black,21-40,United-States,<=50K,HS-College
Private,Other,21-40,United-States,<=50K,Assoc
Private,Black,21-40,United-States,<=50K,Bach
Local-gov,Black,21-40,United-States,<=50K,MiddleSchool
Private,Black,41-60,United-States,<=50K,Assoc
Private,Black,21-40,United-States,<=50K,Bach
?,Asian-Pac-Islander,21-40,?,<=50K,Mast
Private,Asian-Pac-Islander,21-40,United-States,<=50K,Assoc
Private,Asian-Pac-Islander,21-40,Laos,<=50K,Assoc
?,Black,21-40,United-States,<=50K,Assoc
Self-emp-not-inc,Black,21-40,United-States,>50K,Bach
?,Black,0-20,United-States,<=50K,Assoc
State-gov,Black,21-40,United-States,<=50K,Assoc
Local-gov,Black,21-40,United-States,<=50K,Assoc
Private,Black,21-40,United-States,<=50K,HS-College
Private,Black,21-40,United-States,<=50K,HS-College
Private,Black,21-40,United-States,<=50K,HS-College
Private,Black,0-20,United-States,<=50K,Assoc
Local-gov,Black,21-40,United-States,<=50K,HS-College
?,Black,21-40,United-States,<=50K,Elementary
Private,Amer-Indian-Eskimo,0-20,United-States,<=50K,Assoc
Private,Other,41-60,Puerto-Rico,<=50K,MiddleSchool
Private,Black,21-40,United-States,<=50K,Preschool
?,Black,21-40,United-States,<=50K,HS-College
Private,Black,21-40,United-States,<=50K,HS-College
Federal-gov,Black,21-40,United-States,>50K,Assoc
Private,Black,21-40,United-States,<=50K,HS-College
?,Asian-Pac-Islander,21-40,United-States,<=50K,HS-College
?,Amer-Indian-Eskimo,21-40,United-States,<=50K,Assoc
Private,Black,21-40,United-States,<=50K,HS-College
Private,Black,0-20,United-States,<=50K,MiddleSchool
Private,Black,21-40,United-States,<=50K,MiddleSchool
Self-emp-not-inc,Black,21-40,United-States,<=50K,Assoc
Local-gov,Black,21-40,United-States,<=50K,MiddleSchool
Private,Black,21-40,United-States,>50K,Bach
State-gov,Asian-Pac-Islander,21-40,Philippines,<=50K,Assoc
?,Asian-Pac-Islander,21-40,South,<=50K,MiddleSchool
Private,Black,41-60,United-States,<=50K,Assoc
Private,Black,21-40,United-States,<=50K,Assoc
Private,Black,21-40,United-States,<=50K,HS-College
Private,Asian-Pac-Islander,21-40,United-States,<=50K,Assoc
?,Black,21-40,United-States,<=50K,Assoc
Private,Black,21-40,United-States,<=50K,Assoc
Private,Black,0-20,United-States,<=50K,HS-College
Private,Black,21-40,United-States,<=50K,Assoc
Private,Other,41-60,United-States,>50K,Bach
Private,Black,21-40,United-States,<=50K,Assoc
Private,Black,0-20,United-States,<=50K,HS-College
?,Black,21-40,United-States,<=50K,Assoc
Private,Asian-Pac-Islander,21-40,India,<=50K,Assoc
Private,Asian-Pac-Islander,41-60,South,<=50K,Mast
Private,Black,21-40,United-States,<=50K,Assoc
Private,Amer-Indian-Eskimo,21-40,United-States,<=50K,Assoc
Local-gov,Black,21-40,United-States,<=50K,Assoc
Private,Black,21-40,United-States,<=50K,Elementary
Private,Black,21-40,United-States,<=50K,HS-College
?,Black,21-40,United-States,<=50K,HS-College
Private,Black,21-40,United-States,<=50K,HS-College
Private,Black,21-40,United-States,<=50K,HS-College
Private,Black,21-40,United-States,<=50K,HS-College
Private,Black,21-40,United-States,<=50K,HS-College
Private,Black,21-40,United-States,<=50K,Assoc
Private,Black,21-40,United-States,<=50K,Bach
Private,Black,21-40,United-States,<=50K,Assoc
Private,Black,21-40,United-States,<=50K,Assoc
Private,Black,21-40,United-States,<=50K,HS-College
Private,Black,21-40,United-States,<=50K,MiddleSchool
Federal-gov,Black,21-40,United-States,<=50K,Assoc
