Gender,Age,PerfEval,Education,Dept,Seniority,Salary
Female,18-29,5,College,Operations,2,<75K
Male,18-29,5,College,Management,5,100K-125K
Female,18-29,4,PhD,Administration,5,75K-100K
Male,18-29,5,Masters,Sales,4,100K-125K
Male,18-29,5,Masters,Engineering,5,100K-125K
Female,18-29,5,PhD,Operations,4,75K-100K
Female,18-29,5,College,Sales,4,75K-100K
Male,18-29,4,PhD,Engineering,5,100K-125K
Female,30-41,5,High School,Engineering,5,100K-125K
Female,30-41,5,College,Engineering,5,100K-125K
Male,18-29,5,PhD,Engineering,5,100K-125K
Female,18-29,5,College,Management,3,<75K
Female,18-29,5,College,Sales,3,75K-100K
Female,30-41,5,Masters,Administration,5,75K-100K
Female,30-41,5,PhD,Operations,4,100K-125K
Female,18-29,5,PhD,Management,3,75K-100K
Female,18-29,5,PhD,Administration,5,75K-100K
Female,18-29,5,College,Administration,5,100K-125K
Male,18-29,5,High School,Engineering,5,75K-100K
Female,30-41,5,College,Engineering,5,100K-125K
Male,30-41,5,PhD,Engineering,5,100K-125K
Male,18-29,5,PhD,Sales,3,75K-100K
Male,18-29,5,PhD,Sales,3,75K-100K
Female,30-41,5,College,Management,1,75K-100K
Male,18-29,4,PhD,Engineering,5,<125K
Female,18-29,5,College,Engineering,2,75K-100K
Male,18-29,5,Masters,Administration,4,100K-125K
Male,30-41,5,PhD,Management,3,75K-100K
Male,30-41,5,PhD,Engineering,4,100K-125K
Female,30-41,5,College,Administration,5,100K-125K
Male,18-29,5,Masters,Management,2,75K-100K
Male,30-41,5,Masters,Management,5,100K-125K
Female,18-29,5,PhD,Operations,4,75K-100K
Female,18-29,5,High School,Engineering,3,75K-100K
Female,42-53,5,PhD,Management,5,100K-125K
Male,18-29,5,PhD,Management,4,100K-125K
Male,18-29,5,High School,Management,4,100K-125K
Male,30-41,5,High School,Operations,3,100K-125K
Female,30-41,5,College,Management,4,75K-100K
Male,18-29,5,College,Administration,4,75K-100K
Male,18-29,5,PhD,Administration,5,100K-125K
Male,30-41,5,PhD,Management,3,75K-100K
Male,30-41,5,PhD,Sales,2,75K-100K
Male,18-29,5,Masters,Engineering,2,<75K
Male,18-29,5,Masters,Sales,5,<125K
Male,18-29,5,Masters,Management,3,75K-100K
Female,18-29,5,PhD,Operations,3,75K-100K
