Sex,Job,Housing,Purpose,Risk,Age range,Credit amount range,Duration range
male,2,own,radio/TV,good,60-75,0-5K,0-10
female,2,own,radio/TV,bad,15-30,5K-10K,41-80
male,1,own,education,good,45-60,0-5K,11-20
male,2,free,furniture/equipment,good,45-60,5K-10K,41-80
male,2,free,car,bad,45-60,0-5K,21-30
male,1,free,education,good,30-45,5K-10K,31-40
male,2,own,furniture/equipment,good,45-60,0-5K,21-30
male,3,rent,car,good,30-45,5K-10K,31-40
male,1,own,radio/TV,good,60-75,0-5K,11-20
male,3,own,car,bad,15-30,5K-10K,31-40
female,2,rent,car,bad,15-30,0-5K,11-20
female,2,rent,business,bad,15-30,0-5K,41-80
female,2,own,radio/TV,good,15-30,0-5K,11-20
male,1,own,car,bad,60-75,0-5K,21-30
female,2,rent,car,good,15-30,0-5K,11-20
female,1,own,radio/TV,bad,30-45,0-5K,21-30
male,2,own,radio/TV,good,45-60,0-5K,21-30
male,2,own,business,good,15-30,5K-10K,31-40
female,3,free,car,bad,30-45,10K-15K,21-30
male,2,own,radio/TV,good,30-45,0-5K,21-30
male,2,own,car,good,45-60,0-5K,0-10
male,2,rent,radio/TV,good,30-45,0-5K,0-10
male,1,rent,car,good,45-60,0-5K,11-20
male,2,own,car,good,30-45,0-5K,11-20
male,2,own,furniture/equipment,good,15-30,0-5K,11-20
male,1,own,furniture/equipment,good,30-45,0-5K,0-10
male,1,own,radio/TV,good,30-45,0-5K,0-10
female,2,rent,radio/TV,good,30-45,0-5K,11-20
male,2,own,radio/TV,good,30-45,0-5K,0-10
male,2,own,business,bad,60-75,5K-10K,41-80
male,2,own,business,good,30-45,0-5K,11-20
male,2,own,furniture/equipment,good,15-30,0-5K,21-30
male,2,own,car,good,30-45,5K-10K,11-20
male,1,rent,business,good,45-60,0-5K,11-20
female,3,own,furniture/equipment,good,30-45,0-5K,11-20
male,1,own,radio/TV,bad,15-30,0-5K,41-80
male,2,free,education,good,30-45,5K-10K,41-80
male,2,own,radio/TV,bad,30-45,0-5K,11-20
male,2,own,domestic appliances,good,30-45,0-5K,11-20
male,2,own,radio/TV,good,15-30,0-5K,0-10
male,3,own,radio/TV,good,30-45,0-5K,31-40
