armed,gender,race,signs_of_mental_illness,threat_level,flee,age_range
gun,M,Asian,True,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
unarmed,M,Hispanic,False,other,Not fleeing,21-30
toy weapon,M,White,True,attack,Not fleeing,31-40
nail gun,M,Hispanic,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,0-20
gun,M,Hispanic,False,attack,Car,21-30
gun,M,White,False,attack,Not fleeing,31-40
unarmed,F,White,False,other,Not fleeing,31-40
toy weapon,M,Black,False,attack,Not fleeing,41-60
knife,M,White,False,attack,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,31-40
knife,M,Black,True,other,Not fleeing,41-60
gun,M,White,False,attack,Car,31-40
gun,M,Black,False,attack,Foot,31-40
unknown,M,White,False,undetermined,Not fleeing,21-30
shovel,M,White,False,attack,Not fleeing,41-60
unarmed,M,Black,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,60-100
gun,M,Hispanic,False,attack,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,31-40
gun,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,Hispanic,False,attack,Foot,21-30
gun,M,White,False,attack,Foot,31-40
knife,M,White,True,other,Not fleeing,41-60
unknown,M,Black,False,attack,Not fleeing,21-30
unknown,M,White,False,attack,Not fleeing,21-30
gun,M,Black,True,attack,Not fleeing,31-40
knife,M,White,False,attack,Not fleeing,60-100
gun,M,White,False,attack,Not fleeing,60-100
knife,M,White,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Foot,21-30
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,21-30
knife,M,Hispanic,True,other,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Car,41-60
knife,M,Other,False,other,Not fleeing,41-60
gun,M,Black,False,attack,Foot,21-30
gun,M,Hispanic,False,attack,Not fleeing,21-30
knife,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,White,True,attack,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,60-100
knife,M,White,False,attack,Not fleeing,41-60
unknown,M,Black,False,other,Car,41-60
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Hispanic,False,attack,Foot,31-40
gun,M,Black,False,attack,Not fleeing,0-20
gun,M,White,True,attack,Not fleeing,41-60
toy weapon,M,Black,False,attack,Car,21-30
knife,F,White,True,other,Not fleeing,0-20
unknown,M,Black,False,other,Not fleeing,21-30
knife,M,Hispanic,False,other,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,60-100
gun,M,White,False,attack,Not fleeing,41-60
knife,M,Black,True,other,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Hispanic,False,attack,Car,21-30
unknown,F,Hispanic,False,other,Not fleeing,0-20
gun,M,White,True,attack,Not fleeing,60-100
unarmed,M,Hispanic,False,other,Car,21-30
knife,M,Hispanic,True,other,Not fleeing,31-40
knife,F,White,True,attack,Not fleeing,31-40
unknown,M,Native,False,other,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,21-30
hammer,M,Asian,True,attack,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,31-40
unarmed,M,White,False,other,Foot,41-60
gun,M,White,False,attack,Foot,41-60
gun,M,Hispanic,False,attack,Not fleeing,31-40
knife,M,Black,True,other,Not fleeing,41-60
unarmed,M,White,False,other,Foot,41-60
gun,M,White,True,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,0-20
gun,M,Black,False,attack,Foot,21-30
gun,F,Black,False,attack,Car,31-40
knife,M,Black,True,other,Not fleeing,21-30
gun,M,White,True,attack,Not fleeing,41-60
unarmed,M,Black,False,attack,Not fleeing,21-30
gun,M,Hispanic,False,attack,Not fleeing,31-40
gun,M,Hispanic,False,attack,Car,21-30
